"","location_variable","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate"
"1","1","Black",8357,308,31,0.0368553308603566,0.100649350649351
"2","1","Hispanic",2703,104,9,0.0384757676655568,0.0865384615384615
"3","1","White",2181,96,23,0.0440165061898212,0.239583333333333
"4","5","Black",5769,254,21,0.0440284278037788,0.0826771653543307
"5","5","Hispanic",4219,228,22,0.054041242000474,0.0964912280701754
"6","5","White",1824,91,24,0.049890350877193,0.263736263736264
"7","6","Black",8982,370,27,0.0411934981073258,0.072972972972973
"8","6","Hispanic",2910,119,22,0.040893470790378,0.184873949579832
"9","6","White",2767,115,14,0.0415612576797976,0.121739130434783
"10","7","Black",6720,351,23,0.0522321428571429,0.0655270655270655
"11","7","Hispanic",8440,427,42,0.0505924170616114,0.0983606557377049
"12","7","White",2309,114,23,0.0493720225205717,0.201754385964912
"13","9","Black",8538,416,40,0.048723354415554,0.0961538461538462
"14","9","Hispanic",9907,568,68,0.0573331987483597,0.119718309859155
"15","9","White",5305,302,60,0.0569274269557022,0.198675496688742
"16","10","Black",7207,425,45,0.0589704454003053,0.105882352941176
"17","10","Hispanic",3989,235,36,0.0589120080220607,0.153191489361702
"18","10","White",2976,163,29,0.0547715053763441,0.177914110429448
"19","13","Black",9907,549,102,0.055415362874735,0.185792349726776
"20","13","Hispanic",6524,414,136,0.0634580012262416,0.328502415458937
"21","13","White",4576,372,170,0.0812937062937063,0.456989247311828
"22","14","Black",29184,1048,183,0.0359100877192982,0.174618320610687
"23","14","Hispanic",12197,610,167,0.0500122981060917,0.273770491803279
"24","14","White",7855,548,257,0.0697644812221515,0.468978102189781
"25","17","Black",3388,132,18,0.038961038961039,0.136363636363636
"26","17","Hispanic",2384,142,39,0.0595637583892617,0.274647887323944
"27","17","White",1873,103,41,0.0549919914575547,0.398058252427184
"28","18","Black",7756,291,27,0.0375193398659103,0.0927835051546392
"29","18","Hispanic",3835,225,33,0.0586701434159061,0.146666666666667
"30","18","White",2920,142,35,0.0486301369863014,0.246478873239437
"31","19","Black",7916,452,28,0.057099545224861,0.0619469026548673
"32","19","Hispanic",7367,341,41,0.0462874983032442,0.120234604105572
"33","19","White",5780,255,32,0.0441176470588235,0.125490196078431
"34","20","Black",7810,250,14,0.0320102432778489,0.056
"35","20","Hispanic",5503,172,17,0.0312556787206978,0.0988372093023256
"36","20","White",4154,138,11,0.033220991815118,0.0797101449275362
"37","23","Black",42350,2414,62,0.0570011806375443,0.0256835128417564
"38","23","Hispanic",27951,1294,50,0.0462953024936496,0.0386398763523957
"39","23","White",1776,82,7,0.0461711711711712,0.0853658536585366
"40","24","Black",10543,526,24,0.0498909228872238,0.0456273764258555
"41","24","Hispanic",6976,383,24,0.0549025229357798,0.0626631853785901
"42","24","White",1775,83,10,0.0467605633802817,0.120481927710843
"43","25","Black",27918,2040,105,0.0730711369009241,0.0514705882352941
"44","25","Hispanic",12389,859,115,0.0693357010251029,0.133876600698487
"45","25","White",1338,123,24,0.0919282511210762,0.195121951219512
"46","26","Black",15820,765,29,0.0483565107458913,0.0379084967320261
"47","26","Hispanic",5713,275,19,0.0481358305618764,0.0690909090909091
"48","26","White",859,34,8,0.039580908032596,0.235294117647059
"49","28","Black",29855,1369,60,0.0458549656673924,0.043827611395179
"50","28","Hispanic",5071,197,16,0.0388483533819759,0.0812182741116751
"51","28","White",887,39,8,0.0439684329199549,0.205128205128205
"52","30","Black",12977,463,34,0.035678508129768,0.0734341252699784
"53","30","Hispanic",14116,486,40,0.0344290167186172,0.0823045267489712
"54","30","White",766,30,6,0.0391644908616188,0.2
